mm,yyyy,tmax,tmin,af,rain,sun
11,2012,11.4,6.2,0,92.0,95.0
12,2012,9.6,4.3,5,178.7,79.1
1,2013,7.3,3.1,9,76.4,49.1
2,2013,6.4,2.3,2,31.6,75.6
3,2013,6.8,2.5,5,55.8,64.1
4,2013,11.3,4.9,2,57.4,159.1
5,2013,15.1,7.8,0,54.4,199.0
6,2013,18.1,11.7,0,13.8,204.3
7,2013,22.5,14.9,0,35.3,258.2
8,2013,22.0,14.9,0,32.9,269.6
9,2013,19.0,11.9,0,48.0,143.3
10,2013,16.7,11.0,0,170.8,101.9
11,2013,11.1,5.6,0,116.3,80.9
12,2013,10.8,4.8,0,145.0,58.6
1,2014,10.4,5.0,0,162.8,61.6
2,2014,10.5,5.2,0,123.7,102.8
3,2014,12.5,4.7,0,47.8,188.9
4,2014,14.7,7.1,0,44.4,196.4
5,2014,15.4,9.8,0,59.6,236.3
6,2014,20.2,12.5,0,10.3,214.4
7,2014,22.3,15.2,0,63.3,235.9
8,2014,20.5,13.7,0,100.3,237.1
9,2014,20.6,13.1,0,9.8,185.4
10,2014,17.6,11.2,0,155.1,119.6
11,2014,13.1,8.9,0,157.3,56.1
12,2014,9.5,3.9,3,58.1,73.3
1,2015,9.1,3.5,6,128.7,70.3
2,2015,8.6,2.2,5,65.3,97.5
3,2015,10.8,5.1,0,25.4,142.0
4,2015,14.4,6.0,0,8.0,243.0
5,2015,15.3,9.3,0,71.0,206.4
6,2015,19.6,11.5,0,20.5,230.1
7,2015,20.5,14.2,0,62.3,212.6
8,2015,21.0,14.7,0,147.6,181.2
9,2015,18.2,10.3,0,102.6,196.1
10,2015,15.5,9.4,0,38.1,117.2
11,2015,13.8,9.1,1,101.8,33.9
12,2015,13.5,9.9,0,85.6,27.1
1,2016,9.9,4.5,3,167.8,68.0
2,2016,9.8,3.9,3,53.7,75.2
3,2016,10.6,3.9,1,45.1,144.8
4,2016,12.7,5.8,0,26.1,192.8
5,2016,17.0,10.0,0,44.2,224.2
6,2016,19.1,12.9,0,75.2,144.7
7,2016,21.2,14.9,0,5.0,248.8
8,2016,21.9,14.7,0,21.8,235.6
9,2016,21.3,14.2,0,21.6,139.4
10,2016,16.2,9.1,0,32.7,116.8
11,2016,11.9,4.9,1,69.5,69.7
12,2016,10.9,5.1,1,12.3,60.7
1,2017,7.8,1.1,11,102.3,78.6
2,2017,9.6,4.8,0,33.8,51.7
3,2017,13.0,6.6,0,19.0,125.5
4,2017,14.5,5.7,0,8.6,217.5
5,2017,17.4,10.2,0,51.4,180.5
6,2017,20.6,13.4,0,34.1,241.2
7,2017,21.9,15.3,0,77.5,173.6
8,2017,21.4,13.5,0,58.7,208.3
9,2017,18.9,11.4,0,85.1,64.9
10,2017,16.3,10.2,0,20.4,83.0
11,2017,11.4,5.7,1,35.1,72.2
12,2017,9.0,3.4,7,122.0,51.2
1,2018,9.6,5.0,0,89.9,52.8
2,2018,6.6,1.1,7,55.6,138.2
3,2018,8.5,3.8,3,80.8,95.9
4,2018,13.7,8.1,0,72.8,172.4
5,2018,18.3,10.2,0,37.9,290.8
6,2018,20.1,12.7,0,3.6,291.2
